date,truck_id,driver_id,origin,destination,miles,fuel_gallons,fuel_cost,revenue,load_weight,hours_driven,maintenance_cost
2024-01-17,TRUCK-018,DRIVER-001,Seattle,Miami,305.8,54.75,210.22,748.12,18112,6.7,0.0
2024-01-17,TRUCK-003,DRIVER-008,Dallas,New York,365.7,68.34,236.04,886.13,25342,7.2,0.0
2024-01-18,TRUCK-019,DRIVER-022,Atlanta,Denver,531.5,173.9,681.95,895.81,15042,9.0,0.0
2024-01-19,TRUCK-012,DRIVER-030,Dallas,New York,295.2,42.7,155.93,709.54,24464,5.9,0.0
2024-01-20,TRUCK-005,DRIVER-022,Seattle,Phoenix,478.1,80.25,269.86,1018.37,25919,7.9,0.0
2024-01-20,TRUCK-005,DRIVER-005,Miami,Seattle,167.3,20.98,74.84,301.51,21600,3.2,18.66
2024-01-21,TRUCK-020,DRIVER-005,New York,Houston,369.9,73.54,266.93,561.22,32715,5.4,23.47
2024-01-22,TRUCK-019,DRIVER-024,New York,Chicago,416.3,91.33,320.09,1004.05,25349,8.1,0.0
2024-01-22,TRUCK-012,DRIVER-005,Dallas,Atlanta,458.6,83.23,356.52,718.52,26405,9.4,19.21
2024-01-23,TRUCK-010,DRIVER-029,Phoenix,Denver,237.8,38.25,152.56,655.88,27243,4.4,0.0
2024-01-24,TRUCK-005,DRIVER-018,Atlanta,New York,374.7,53.62,200.8,858.53,30218,6.5,0.0
2024-01-25,TRUCK-012,DRIVER-017,Atlanta,Denver,455.3,74.05,270.13,1066.08,22384,7.1,0.0
2024-01-25,TRUCK-017,DRIVER-020,Dallas,Houston,258.9,35.52,134.13,606.71,20909,3.4,0.0
2024-01-26,TRUCK-020,DRIVER-013,Los Angeles,Houston,415.8,80.22,313.34,1027.02,34068,7.0,0.0
2024-01-27,TRUCK-009,DRIVER-018,Houston,Chicago,361.4,47.64,173.48,838.89,30772,7.2,0.0
2024-01-28,TRUCK-013,DRIVER-026,Dallas,New York,233.6,30.78,99.76,653.9,17068,4.6,0.0
2024-01-28,TRUCK-020,DRIVER-028,Atlanta,Seattle,427.1,82.67,320.18,974.29,23284,7.2,0.0
2024-01-29,TRUCK-012,DRIVER-021,Los Angeles,Denver,304.6,44.71,164.69,674.19,27368,5.5,0.0
2024-01-30,TRUCK-009,DRIVER-011,Houston,Phoenix,229.8,40.13,164.92,460.65,20622,4.4,0.0
2024-01-30,TRUCK-004,DRIVER-009,Denver,Miami,87.6,14.41,51.31,201.74,33639,2.2,0.0
2024-01-31,TRUCK-013,DRIVER-015,Atlanta,Los Angeles,168.0,21.09,85.3,350.36,21921,2.4,0.0
2024-02-01,TRUCK-017,DRIVER-016,New York,Miami,288.5,38.52,129.11,588.7,26712,3.9,0.0
2024-02-02,TRUCK-003,DRIVER-014,Atlanta,Dallas,451.6,66.91,245.67,763.38,20639,9.4,0.0
2024-02-02,TRUCK-008,DRIVER-002,Miami,Miami,146.6,19.49,74.7,291.42,22410,2.3,0.0
2024-02-03,TRUCK-012,DRIVER-015,New York,Los Angeles,402.7,60.71,212.16,868.06,32445,6.3,0.0
2024-02-04,TRUCK-006,DRIVER-015,Dallas,Chicago,320.3,48.98,203.4,863.53,26001,9.6,0.0
2024-02-05,TRUCK-010,DRIVER-021,Chicago,Dallas,129.7,20.09,77.25,290.26,14126,1.7,0.0
2024-02-05,TRUCK-011,DRIVER-003,Dallas,Chicago,336.7,58.57,212.11,632.68,18172,5.6,0.0
2024-02-06,TRUCK-018,DRIVER-002,Atlanta,Houston,218.5,36.09,122.4,476.87,24490,3.9,0.0
2024-02-07,TRUCK-015,DRIVER-015,Phoenix,Miami,177.4,27.15,103.03,401.35,28844,3.8,0.0
2024-02-08,TRUCK-002,DRIVER-015,Chicago,Houston,385.1,54.94,206.43,997.13,19151,10.0,0.0
2024-02-08,TRUCK-005,DRIVER-013,Denver,Seattle,326.0,59.63,200.34,757.07,30277,5.3,0.0
2024-02-09,TRUCK-015,DRIVER-012,Dallas,Houston,456.3,65.7,280.63,1248.76,20622,11.1,0.0
2024-02-10,TRUCK-002,DRIVER-021,Miami,Los Angeles,298.9,46.05,178.42,652.15,22709,6.1,0.0
2024-02-10,TRUCK-011,DRIVER-006,Dallas,Seattle,317.4,43.92,164.61,764.29,26430,4.4,0.0
2024-02-11,TRUCK-013,DRIVER-001,Denver,Atlanta,233.7,33.6,119.59,378.26,34235,4.1,0.0
2024-02-12,TRUCK-006,DRIVER-001,Miami,Chicago,186.1,27.72,123.22,313.77,35335,5.2,0.0
2024-02-13,TRUCK-002,DRIVER-017,Seattle,Phoenix,400.6,54.59,216.13,743.01,31442,6.7,0.0
2024-02-13,TRUCK-005,DRIVER-022,Phoenix,Seattle,337.1,56.03,211.32,740.14,28814,5.5,0.0
2024-02-14,TRUCK-005,DRIVER-013,Houston,Seattle,354.3,48.36,154.64,842.03,22496,4.8,0.0
2024-02-15,TRUCK-019,DRIVER-017,Atlanta,New York,370.8,58.7,249.45,629.3,21264,6.7,0.0
2024-02-16,TRUCK-007,DRIVER-029,Atlanta,Denver,152.1,20.52,78.68,320.2,27398,2.1,0.0
2024-02-16,TRUCK-001,DRIVER-002,Houston,Los Angeles,397.0,47.39,173.56,834.17,23262,6.3,0.0
2024-02-17,TRUCK-015,DRIVER-012,Chicago,Dallas,428.7,69.77,254.19,881.65,27067,5.8,0.0
2024-02-18,TRUCK-005,DRIVER-011,Houston,Phoenix,182.2,30.6,101.89,371.41,37229,3.2,102.83
2024-02-19,TRUCK-012,DRIVER-019,Phoenix,Seattle,420.5,59.75,214.64,919.12,24549,6.7,0.0
2024-02-19,TRUCK-014,DRIVER-019,Phoenix,Los Angeles,341.9,55.24,190.11,637.69,31986,7.1,0.0
2024-02-20,TRUCK-009,DRIVER-027,Atlanta,Dallas,279.0,48.59,163.31,355.83,27358,7.0,0.0
2024-02-21,TRUCK-001,DRIVER-020,Seattle,Atlanta,408.0,64.52,225.55,991.89,30537,7.2,0.0
2024-02-21,TRUCK-008,DRIVER-027,Phoenix,Dallas,557.3,85.12,319.51,1249.3,22760,16.5,0.0
2024-02-22,TRUCK-016,DRIVER-002,Miami,Atlanta,228.7,34.73,128.03,635.0,31230,6.7,0.0
2024-02-23,TRUCK-001,DRIVER-019,Chicago,Atlanta,243.2,31.91,113.04,625.72,29678,3.6,12.55
2024-02-24,TRUCK-008,DRIVER-015,Phoenix,Chicago,309.9,48.45,187.75,582.99,31249,5.2,0.0
2024-02-24,TRUCK-020,DRIVER-007,Houston,New York,191.9,38.05,148.34,410.97,28444,3.2,0.0
2024-02-25,TRUCK-019,DRIVER-002,Dallas,New York,133.0,22.31,76.75,261.29,30926,2.8,0.0
2024-02-26,TRUCK-012,DRIVER-023,Atlanta,Chicago,264.5,39.44,150.71,598.69,35776,4.3,0.0
2024-02-27,TRUCK-011,DRIVER-005,Miami,Chicago,195.6,30.93,118.29,482.61,31734,3.5,0.0
2024-02-27,TRUCK-002,DRIVER-010,Miami,Los Angeles,500.6,59.77,217.14,1218.57,20506,10.9,0.0
2024-02-28,TRUCK-002,DRIVER-026,Chicago,Miami,466.5,54.18,178.23,840.79,23260,8.2,0.0
2024-02-29,TRUCK-011,DRIVER-003,Miami,Chicago,207.7,38.33,134.37,543.86,27599,3.9,0.0
2024-02-29,TRUCK-001,DRIVER-017,Chicago,Seattle,329.8,51.33,196.13,709.61,23239,5.7,65.13
2024-03-01,TRUCK-011,DRIVER-017,Atlanta,Houston,205.5,24.64,98.46,419.68,26088,2.8,158.71
2024-03-02,TRUCK-019,DRIVER-006,Phoenix,Seattle,381.7,75.65,308.03,1000.65,26335,6.1,0.0
2024-03-03,TRUCK-009,DRIVER-026,New York,Los Angeles,343.0,51.45,196.42,618.41,20904,5.6,0.0
2024-03-03,TRUCK-018,DRIVER-024,Dallas,Chicago,435.7,100.61,411.21,1178.07,25398,6.7,0.0
2024-03-04,TRUCK-012,DRIVER-013,Chicago,Atlanta,433.4,64.16,273.38,1048.71,26335,6.8,0.0
2024-03-05,TRUCK-003,DRIVER-021,Seattle,Phoenix,308.2,41.92,151.79,845.55,21611,7.7,20.5
2024-03-06,TRUCK-020,DRIVER-030,Chicago,Denver,212.7,41.03,150.78,418.74,28336,3.0,0.0
2024-03-06,TRUCK-014,DRIVER-007,Phoenix,Phoenix,204.7,32.59,126.8,350.7,36549,4.2,0.0
2024-03-07,TRUCK-020,DRIVER-019,Houston,Chicago,285.1,70.87,257.33,701.03,22921,5.3,0.0
2024-03-08,TRUCK-006,DRIVER-020,Houston,Atlanta,351.5,47.15,177.95,606.4,23133,8.1,0.0
2024-03-09,TRUCK-017,DRIVER-015,Seattle,Seattle,334.4,53.94,192.77,669.97,13772,7.2,0.0
2024-03-09,TRUCK-009,DRIVER-002,Phoenix,Miami,293.1,46.16,174.54,683.03,29421,6.4,0.0
2024-03-10,TRUCK-006,DRIVER-008,Atlanta,Miami,390.7,59.85,252.35,991.4,30508,7.0,0.0
2024-03-11,TRUCK-016,DRIVER-027,Miami,New York,382.0,55.32,222.21,1015.96,30201,7.1,85.73
2024-03-11,TRUCK-007,DRIVER-007,Chicago,Atlanta,336.9,54.46,204.63,908.69,20044,6.0,0.0
2024-03-12,TRUCK-013,DRIVER-002,Los Angeles,Miami,269.2,40.33,153.76,754.39,25878,4.6,17.9
2024-03-13,TRUCK-017,DRIVER-024,Chicago,Chicago,375.2,51.53,184.27,838.72,35102,7.9,0.0
2024-03-14,TRUCK-012,DRIVER-026,Chicago,Chicago,286.9,58.89,231.61,753.97,18851,5.4,0.0
2024-03-14,TRUCK-011,DRIVER-021,Los Angeles,Denver,412.2,54.61,201.73,761.95,17372,8.6,0.0
2024-03-15,TRUCK-001,DRIVER-017,Seattle,Phoenix,416.3,59.0,209.75,1030.07,29753,8.1,0.0
2024-03-16,TRUCK-008,DRIVER-007,Dallas,Los Angeles,258.1,42.21,175.46,356.59,24192,6.2,45.61
2024-03-17,TRUCK-012,DRIVER-022,Miami,Los Angeles,336.6,64.27,231.8,702.54,29203,6.9,0.0
2024-03-17,TRUCK-013,DRIVER-015,Miami,Seattle,288.1,51.84,182.25,811.46,26861,4.8,32.75
2024-03-18,TRUCK-009,DRIVER-010,Phoenix,Chicago,299.6,53.76,221.82,766.2,26042,8.7,21.59
2024-03-19,TRUCK-001,DRIVER-015,Chicago,Houston,252.9,29.2,114.12,482.37,31997,3.9,137.61
2024-03-19,TRUCK-007,DRIVER-015,New York,Denver,146.6,20.4,82.94,358.61,35779,2.2,0.0
2024-03-20,TRUCK-003,DRIVER-025,Dallas,Houston,468.6,76.42,319.65,1230.58,23233,13.5,0.0
2024-03-21,TRUCK-019,DRIVER-028,Houston,Dallas,168.9,30.66,111.21,562.86,22489,3.0,14.9
2024-03-22,TRUCK-012,DRIVER-030,Denver,Phoenix,413.1,65.78,269.45,1039.06,29761,4.9,0.0
2024-03-22,TRUCK-002,DRIVER-010,Dallas,Dallas,407.9,52.5,194.6,1043.85,20559,9.9,0.0
2024-03-23,TRUCK-018,DRIVER-016,New York,Houston,437.7,61.46,236.64,879.75,26619,8.4,0.0
2024-03-24,TRUCK-015,DRIVER-017,Seattle,Seattle,454.2,57.18,204.63,1065.81,30235,8.7,44.39
2024-03-25,TRUCK-012,DRIVER-030,Seattle,Atlanta,144.4,22.99,74.16,337.77,35949,3.4,0.0
2024-03-25,TRUCK-020,DRIVER-017,Atlanta,Phoenix,440.5,134.88,522.78,658.98,26813,6.5,0.0
2024-03-26,TRUCK-012,DRIVER-005,Los Angeles,Los Angeles,248.4,38.0,130.75,613.5,25955,5.4,0.0
2024-03-27,TRUCK-020,DRIVER-018,New York,Miami,391.6,81.13,324.48,484.18,30541,8.8,0.0
2024-03-28,TRUCK-008,DRIVER-002,Atlanta,New York,237.6,29.59,109.54,552.74,24742,4.2,14.0
2024-03-28,TRUCK-008,DRIVER-004,Atlanta,Atlanta,337.3,48.85,185.61,728.36,28194,7.7,0.0
2024-03-29,TRUCK-005,DRIVER-009,Atlanta,Seattle,114.9,15.84,60.75,213.83,23690,2.3,0.0
2024-03-30,TRUCK-002,DRIVER-018,Seattle,New York,131.5,18.65,74.81,322.16,31449,2.5,0.0
2024-03-30,TRUCK-007,DRIVER-025,Atlanta,Atlanta,172.2,33.21,117.19,481.02,14244,2.4,44.22
2024-03-31,TRUCK-008,DRIVER-026,Phoenix,Chicago,409.0,52.93,168.71,822.41,22729,7.5,0.0
2024-04-01,TRUCK-012,DRIVER-011,New York,Miami,309.0,55.62,206.49,518.44,29275,4.8,0.0
2024-04-02,TRUCK-011,DRIVER-002,Denver,Los Angeles,274.7,40.32,149.3,671.33,20057,6.2,0.0
2024-04-02,TRUCK-003,DRIVER-013,Denver,Houston,217.1,32.74,116.92,606.93,24329,4.1,0.0
2024-04-03,TRUCK-010,DRIVER-029,Houston,Phoenix,246.0,35.59,141.91,496.43,24902,4.1,0.0
2024-04-04,TRUCK-001,DRIVER-028,Seattle,Houston,347.7,58.16,221.69,1056.2,27498,8.3,0.0
2024-04-05,TRUCK-010,DRIVER-018,Phoenix,Dallas,272.5,38.37,151.05,546.22,27178,4.3,0.0
2024-04-05,TRUCK-019,DRIVER-003,Chicago,Atlanta,216.5,34.55,119.29,510.52,24074,4.0,51.36
2024-04-06,TRUCK-007,DRIVER-030,Seattle,Chicago,146.3,21.79,89.66,242.89,28335,3.7,0.0
2024-04-07,TRUCK-010,DRIVER-007,Denver,Phoenix,467.8,77.23,300.58,1319.08,30654,6.5,0.0
2024-04-08,TRUCK-001,DRIVER-002,Los Angeles,Los Angeles,235.1,34.46,129.53,465.56,28156,6.0,0.0
2024-04-08,TRUCK-012,DRIVER-002,New York,Denver,182.7,33.15,130.06,535.66,25482,3.8,0.0
2024-04-09,TRUCK-013,DRIVER-030,Seattle,New York,431.1,61.1,224.15,790.5,21322,6.4,0.0
2024-04-10,TRUCK-020,DRIVER-030,Los Angeles,Denver,66.4,16.01,57.02,167.85,21254,1.2,0.0
2024-04-10,TRUCK-001,DRIVER-013,Chicago,Seattle,315.5,32.29,118.73,664.93,15819,5.3,0.0
2024-04-11,TRUCK-004,DRIVER-012,Atlanta,Houston,336.5,44.15,143.57,900.7,35960,5.4,0.0
2024-04-12,TRUCK-010,DRIVER-009,Los Angeles,Dallas,326.7,48.35,173.25,848.61,27683,7.1,0.0
2024-04-13,TRUCK-020,DRIVER-001,Denver,Atlanta,371.2,79.9,285.2,1176.87,31951,6.1,0.0
2024-04-13,TRUCK-003,DRIVER-015,Denver,Denver,220.0,32.45,129.4,234.14,20303,4.1,0.0
2024-04-14,TRUCK-011,DRIVER-002,Chicago,Phoenix,453.1,60.61,224.06,1255.81,22008,12.1,0.0
2024-04-15,TRUCK-009,DRIVER-001,Denver,Denver,229.1,31.89,123.96,441.49,17329,3.6,0.0
2024-04-16,TRUCK-006,DRIVER-029,Dallas,New York,195.6,30.89,114.83,507.84,15280,2.4,0.0
2024-04-16,TRUCK-005,DRIVER-015,Los Angeles,Houston,297.0,46.7,170.54,666.7,20033,4.9,0.0
2024-04-17,TRUCK-013,DRIVER-021,Denver,New York,298.5,42.86,162.02,569.9,23052,4.9,0.0
2024-04-18,TRUCK-003,DRIVER-013,Atlanta,Seattle,162.8,31.25,128.7,354.39,26457,3.4,0.0
2024-04-18,TRUCK-002,DRIVER-011,New York,Chicago,140.1,18.74,69.87,360.37,20256,4.2,0.0
2024-04-19,TRUCK-017,DRIVER-001,New York,Los Angeles,303.2,51.41,198.71,610.28,28965,4.5,0.0
2024-04-20,TRUCK-003,DRIVER-015,Dallas,New York,219.8,29.15,102.16,392.31,21946,3.3,0.0
2024-04-21,TRUCK-005,DRIVER-025,Seattle,Chicago,418.6,59.16,236.58,830.91,20693,9.1,160.73
2024-04-21,TRUCK-018,DRIVER-013,Los Angeles,Chicago,221.9,35.77,125.1,494.05,23175,4.8,0.0
2024-04-22,TRUCK-009,DRIVER-022,Denver,Denver,195.5,39.68,169.21,364.42,23894,3.7,0.0
2024-04-23,TRUCK-003,DRIVER-015,Chicago,Los Angeles,178.8,24.13,88.37,436.57,23757,2.5,0.0
2024-04-24,TRUCK-008,DRIVER-022,Seattle,Miami,170.6,25.52,94.75,362.18,33649,2.9,0.0
2024-04-24,TRUCK-015,DRIVER-005,Atlanta,Phoenix,180.4,27.89,97.79,293.96,20706,3.1,0.0
2024-04-25,TRUCK-007,DRIVER-026,Phoenix,Atlanta,400.2,60.05,207.29,867.82,27696,6.9,0.0
2024-04-26,TRUCK-003,DRIVER-014,New York,Chicago,428.8,69.59,265.5,754.61,30983,8.8,0.0
2024-04-27,TRUCK-010,DRIVER-011,Dallas,New York,221.5,31.56,117.4,530.92,26158,10.3,0.0
2024-04-27,TRUCK-015,DRIVER-005,Miami,Los Angeles,472.7,76.48,291.11,1217.86,22919,10.9,0.0
2024-04-28,TRUCK-007,DRIVER-023,Denver,Denver,521.4,83.25,314.83,1047.66,24900,10.8,0.0
2024-04-29,TRUCK-019,DRIVER-022,Phoenix,Houston,377.8,91.95,326.01,849.68,29739,6.1,0.0
2024-04-29,TRUCK-016,DRIVER-020,Atlanta,Seattle,209.5,33.49,118.23,528.87,25949,3.4,0.0
2024-04-30,TRUCK-004,DRIVER-026,Los Angeles,Seattle,167.2,25.78,102.14,427.52,26781,3.0,0.0
2024-05-01,TRUCK-011,DRIVER-010,Dallas,Houston,314.1,61.76,236.61,690.47,27568,6.3,0.0
2024-05-02,TRUCK-005,DRIVER-004,Miami,Seattle,390.9,51.15,193.1,899.54,26774,8.9,0.0
2024-05-02,TRUCK-020,DRIVER-003,New York,Phoenix,335.3,72.16,252.99,649.78,24667,5.8,0.0
2024-05-03,TRUCK-013,DRIVER-021,Denver,Chicago,228.2,37.34,149.84,675.9,16186,5.1,0.0
2024-05-04,TRUCK-018,DRIVER-024,Seattle,Los Angeles,335.1,42.68,172.43,709.83,19448,5.5,0.0
2024-05-05,TRUCK-019,DRIVER-022,New York,Atlanta,330.7,74.4,263.7,725.09,19921,5.9,0.0
2024-05-05,TRUCK-011,DRIVER-006,Chicago,Atlanta,317.6,51.18,181.34,724.28,19523,6.0,0.0
2024-05-06,TRUCK-002,DRIVER-006,Houston,Dallas,463.3,61.03,243.26,930.59,21770,9.9,0.0
2024-05-07,TRUCK-004,DRIVER-022,Denver,Seattle,312.3,40.04,153.37,675.02,32913,5.3,0.0
2024-05-08,TRUCK-002,DRIVER-020,Dallas,Miami,293.9,40.75,153.68,751.92,20983,8.7,0.0
2024-05-08,TRUCK-011,DRIVER-004,Los Angeles,Los Angeles,311.3,58.2,231.62,627.68,30248,7.6,0.0
2024-05-09,TRUCK-014,DRIVER-007,Dallas,Dallas,178.1,27.01,107.91,441.61,37718,3.1,22.6
2024-05-10,TRUCK-016,DRIVER-009,New York,Atlanta,280.0,50.28,179.31,650.07,26325,5.1,0.0
2024-05-10,TRUCK-013,DRIVER-030,Los Angeles,Dallas,339.0,57.63,208.88,829.01,26692,6.5,0.0
2024-05-11,TRUCK-018,DRIVER-024,Chicago,Miami,328.6,53.37,182.42,863.92,22508,5.1,0.0
2024-05-12,TRUCK-001,DRIVER-026,Seattle,New York,243.5,32.59,116.8,374.85,17408,3.6,0.0
2024-05-13,TRUCK-011,DRIVER-024,New York,Miami,252.3,35.87,131.68,508.03,22990,4.2,0.0
2024-05-13,TRUCK-003,DRIVER-003,Seattle,Los Angeles,312.6,38.83,135.91,629.27,32290,6.3,0.0
2024-05-14,TRUCK-017,DRIVER-001,Miami,New York,372.4,52.94,182.47,946.53,23103,8.5,0.0
2024-05-15,TRUCK-014,DRIVER-014,Denver,Atlanta,314.1,42.56,162.28,699.71,23891,5.3,0.0
2024-05-16,TRUCK-019,DRIVER-009,New York,Seattle,384.3,77.7,292.15,885.53,28297,7.5,0.0
2024-05-16,TRUCK-006,DRIVER-009,Denver,Denver,130.0,18.78,73.91,252.15,19009,3.1,0.0
2024-05-17,TRUCK-016,DRIVER-014,Chicago,Los Angeles,373.4,62.44,235.45,779.17,21331,6.7,0.0
2024-05-18,TRUCK-003,DRIVER-003,Atlanta,Chicago,472.2,73.41,265.85,1067.0,25948,7.3,0.0
2024-05-18,TRUCK-015,DRIVER-022,Phoenix,Los Angeles,188.0,29.31,102.69,392.08,31109,2.6,0.0
2024-05-19,TRUCK-004,DRIVER-003,Miami,Chicago,218.9,32.13,126.34,440.77,23962,5.8,0.0
2024-05-20,TRUCK-008,DRIVER-012,Miami,Houston,237.7,35.72,127.32,425.07,24024,4.1,0.0
2024-05-21,TRUCK-013,DRIVER-024,Atlanta,Miami,159.4,24.77,83.57,400.97,26490,2.8,0.0
2024-05-21,TRUCK-007,DRIVER-030,Seattle,Seattle,331.9,43.83,143.82,760.18,22096,5.2,0.0
2024-05-22,TRUCK-019,DRIVER-014,Atlanta,Phoenix,319.5,59.79,223.27,652.94,15984,8.2,0.0
2024-05-23,TRUCK-013,DRIVER-013,New York,Atlanta,141.9,19.66,71.36,326.52,33061,2.2,0.0
2024-05-24,TRUCK-001,DRIVER-020,Atlanta,Atlanta,84.8,11.74,43.41,161.54,16628,1.8,0.0
2024-05-24,TRUCK-002,DRIVER-010,Chicago,Dallas,422.6,48.44,195.88,694.44,26034,6.8,0.0
2024-05-25,TRUCK-020,DRIVER-030,Phoenix,Chicago,433.1,83.95,341.73,992.3,24834,8.2,0.0
2024-05-26,TRUCK-001,DRIVER-024,Seattle,Miami,281.4,39.16,145.15,486.87,27355,4.4,0.0
2024-05-27,TRUCK-003,DRIVER-012,Chicago,Dallas,308.1,52.61,200.75,806.6,35954,7.5,0.0
2024-05-27,TRUCK-008,DRIVER-002,Phoenix,Los Angeles,272.8,42.35,164.93,385.38,22979,4.8,0.0
2024-05-28,TRUCK-015,DRIVER-030,Atlanta,Atlanta,431.0,56.59,204.26,938.26,29824,6.1,0.0
2024-05-29,TRUCK-020,DRIVER-013,Denver,Houston,451.5,73.07,274.52,1081.87,19509,8.8,70.57
2024-05-29,TRUCK-015,DRIVER-028,Los Angeles,Dallas,190.4,29.42,107.28,499.73,26198,3.0,0.0
2024-05-30,TRUCK-017,DRIVER-013,Chicago,Miami,320.2,54.48,204.03,764.95,28282,6.4,0.0
2024-05-31,TRUCK-002,DRIVER-012,Los Angeles,New York,221.2,30.29,112.32,461.2,18792,3.9,0.0
2024-06-01,TRUCK-003,DRIVER-003,Chicago,Phoenix,332.4,53.5,209.07,671.89,30327,6.8,0.0
2024-06-01,TRUCK-007,DRIVER-019,Los Angeles,Chicago,253.5,39.51,174.28,436.97,26329,3.5,0.0
2024-06-02,TRUCK-011,DRIVER-026,Miami,Atlanta,232.1,35.39,129.5,682.23,25094,3.8,70.25
2024-06-03,TRUCK-006,DRIVER-024,New York,Seattle,122.7,16.34,57.57,247.99,31813,2.6,0.0
2024-06-04,TRUCK-018,DRIVER-003,Seattle,Phoenix,511.0,91.83,373.75,1218.13,24025,7.7,0.0
2024-06-04,TRUCK-008,DRIVER-016,Chicago,Miami,359.4,86.64,339.11,833.04,30621,5.6,0.0
2024-06-05,TRUCK-010,DRIVER-003,Phoenix,Seattle,442.6,58.65,212.19,1152.93,24381,8.6,0.0
2024-06-06,TRUCK-015,DRIVER-001,Denver,Dallas,342.1,56.79,222.85,911.41,21165,6.0,0.0
2024-06-06,TRUCK-014,DRIVER-013,Chicago,Dallas,396.2,70.77,302.72,1000.21,15532,6.9,34.72
2024-06-07,TRUCK-010,DRIVER-024,Chicago,New York,286.4,55.01,212.43,568.58,17037,6.0,0.0
2024-06-08,TRUCK-007,DRIVER-021,Dallas,Los Angeles,145.9,22.82,86.03,329.5,32406,2.9,0.0
2024-06-09,TRUCK-010,DRIVER-014,Chicago,Denver,480.1,64.08,243.67,997.51,19577,10.7,0.0
2024-06-09,TRUCK-004,DRIVER-014,Chicago,Chicago,339.2,55.68,208.44,553.24,27781,5.4,0.0
2024-06-10,TRUCK-017,DRIVER-023,Phoenix,Chicago,237.4,36.45,145.4,448.29,14633,4.7,0.0
2024-06-11,TRUCK-011,DRIVER-004,Denver,Chicago,283.1,42.76,171.78,655.66,24202,4.4,0.0
2024-06-12,TRUCK-016,DRIVER-025,Phoenix,New York,318.5,46.37,182.44,728.94,29827,4.7,0.0
2024-06-12,TRUCK-012,DRIVER-005,Houston,Atlanta,338.2,57.75,248.91,712.44,27040,6.3,0.0
2024-06-13,TRUCK-009,DRIVER-009,New York,Seattle,200.4,31.06,126.35,495.09,26100,4.8,0.0
2024-06-14,TRUCK-002,DRIVER-001,Denver,New York,362.2,52.58,210.83,805.39,17231,5.7,0.0
2024-06-15,TRUCK-007,DRIVER-001,Denver,Los Angeles,337.2,55.92,204.91,990.62,20608,8.3,5.91
2024-06-15,TRUCK-010,DRIVER-006,Phoenix,Chicago,207.4,31.52,109.66,523.94,23910,7.2,0.0
2024-06-16,TRUCK-017,DRIVER-026,Houston,Miami,274.5,40.05,156.35,652.95,23655,3.9,0.0
2024-06-17,TRUCK-017,DRIVER-002,Los Angeles,Miami,343.8,52.77,206.77,844.88,15561,7.2,0.0
